Timestamp,What is your Age?,What is your current year of study?,What is your field of study?,What is your primary source of funds for personal expenses?,"Have you ever used a 'Buy Now, Pay Later' (BNPL) or an EMI service for a purchase?",Which of the following services have you used? (Select all that apply),How often do you use these services?,What have you typically purchased using BNPL or EMI? (Select all that apply),What is the primary reason you have chosen not to use BNPL or EMI services? ,"Even though you haven't used them, what is your general perception of these ""Buy Now, Pay Later"" services?",How likely are you to consider using a BNPL service in the next year?,BNPL/EMI services make expensive products seem more affordable.,These services are a convenient and helpful financial tool for students.,I worry about the hidden charges or high late fees.,Using BNPL makes it easy to overspend or lose track of my budget.,"What is your overall opinion of 'Buy Now, Pay Later' (BNPL) services like Slice or LazyPay?",Describe a positive experience you have had using an EMI or BNPL service. What made it good?,"Describe a negative experience you have had, if any. What went wrong?",What is your single biggest fear or concern about using these services regularly?
25/09/2025 11:20:51,21,2nd Year,Science,Part-time Job,No,,,,I don't need them / I can afford to pay upfront.,They seem like a convenient and helpful financial tool for managing expenses.,"Likely, Unlikely",,,,,,,,
25/09/2025 11:20:59,21,2nd Year,Engineering / Technology,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't know enough about how they work.",They seem like a convenient and helpful financial tool for managing expenses.,Likely,,,,,,,,
25/09/2025 11:21:07,21,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,"They seem risky and untrustworthy, likely with hidden fees or confusing terms",Unlikely,,,,,,,,
25/09/2025 11:21:14,22,Post-Graduate,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,They seem like a convenient and helpful financial tool for managing expenses.,Neutral,,,,,,,,
25/09/2025 11:21:17,23,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Unlikely,,,,,,,,
25/09/2025 11:21:21,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Unlikely,,,,,,,,
25/09/2025 11:21:24,21,Post-Graduate,Other,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't trust them or worry about hidden fees.",I don't have a strong opinion about them either way.,Neutral,,,,,,,,
25/09/2025 11:21:26,21,Post-Graduate,Engineering / Technology,Parental Allowance,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Unlikely,,,,,,,,
25/09/2025 11:21:26,22,Post-Graduate,Other,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't trust them or worry about hidden fees.",I don't have a strong opinion about them either way.,Neutral,,,,,,,,
25/09/2025 11:21:30,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Unlikely,,,,,,,,
25/09/2025 11:21:38,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I am worried about getting into debt.,"They seem risky and untrustworthy, likely with hidden fees or confusing terms",Neutral,,,,,,,,
25/09/2025 11:21:39,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I am worried about getting into debt.,"They seem risky and untrustworthy, likely with hidden fees or confusing terms",Neutral,,,,,,,,
25/09/2025 11:21:40,22,Post-Graduate,Other,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't trust them or worry about hidden fees.",I don't have a strong opinion about them either way.,Neutral,,,,,,,,
25/09/2025 11:21:44,22,Post-Graduate,Engineering / Technology,Parental Allowance,Yes,No-Cost EMI on a Debit/Credit Card,Rarely (I've only used it once or twice),"Electronics (Mobiles, Laptops, etc.)",,,,3,5,1,3,Very Negative,"The ""No-Cost EMI"" offer was a great deal.",Customer service was unhelpful.,"Getting into a cycle of debt., Hidden fees and confusing terms."
25/09/2025 11:21:44,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Very Unlikely,,,,,,,,
25/09/2025 11:21:46,21,2nd Year,Science,Other,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Neutral,,,,,,,,
25/09/2025 11:21:50,22,2nd Year,Other,Parental Allowance,Yes,Amazon Pay Later,Rarely (I've only used it once or twice),"Electronics (Mobiles, Laptops, etc.)",,,,3,3,2,1,Neutral,It helped me afford something I couldn't pay for upfront.,Customer service was unhelpful.,Hidden fees and confusing terms.
25/09/2025 11:21:53,21,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I am worried about getting into debt.,"They seem risky and untrustworthy, likely with hidden fees or confusing terms","Neutral, Unlikely",,,,,,,,
25/09/2025 11:21:53,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't know enough about how they work.,They seem like a convenient and helpful financial tool for managing expenses.,Neutral,,,,,,,,
25/09/2025 11:21:54,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,They seem like a convenient and helpful financial tool for managing expenses.,Neutral,,,,,,,,
25/09/2025 11:21:57,21,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I am worried about getting into debt.,I don't know enough about them to form an opinion.,"Unlikely, Very Unlikely",,,,,,,,
25/09/2025 11:22:25,22,2nd Year,Engineering / Technology,Parental Allowance,Yes,No-Cost EMI on a Debit/Credit Card,Rarely (I've only used it once or twice),"Electronics (Mobiles, Laptops, etc.)",,,,4,5,5,5,Neutral,It helped me afford something I couldn't pay for upfront.,There were hidden fees or unexpected charges.,Getting into a cycle of debt.
25/09/2025 11:22:30,22,2nd Year,Engineering / Technology,Parental Allowance,Yes,No-Cost EMI on a Debit/Credit Card,Rarely (I've only used it once or twice),"Electronics (Mobiles, Laptops, etc.)",,,,3,3,5,3,Neutral,It was convenient and fast.,Customer service was unhelpful.,The impact on my future credit score
25/09/2025 11:22:36,24,Post-Graduate,Other,Other,No,,,,I don't trust them or worry about hidden fees.,I don't have a strong opinion about them either way.,Neutral,,,,,,,,
25/09/2025 11:22:37,22,2nd Year,Science,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,I don't know enough about them to form an opinion.,Likely,,,,,,,,
25/09/2025 11:22:38,22,Post-Graduate,Other,Parental Allowance,Yes,No-Cost EMI on a Debit/Credit Card,Occasionally (A few times a year),"Electronics (Mobiles, Laptops, etc.)",,,,4,3,3,3,Positive,"It was convenient and fast., It helped me afford something I couldn't pay for upfront.",It encouraged me to overspend or lose track of my budget.,"Getting into a cycle of debt., The impact on my future credit score"
25/09/2025 11:22:45,22,Post-Graduate,Engineering / Technology,Parental Allowance,Yes,"Paytm Postpaid, Amazon Pay Later, Flipkart Pay Later",Occasionally (A few times a year),"Electronics (Mobiles, Laptops, etc.), Food / Groceries",,,,3,1,5,5,Positive,"The ""No-Cost EMI"" offer was a great deal.","It encouraged me to overspend or lose track of my budget., Customer service was unhelpful., The refund process was difficult",Hidden fees and confusing terms.
25/09/2025 11:22:45,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,They seem like a convenient and helpful financial tool for managing expenses.,Very Likely,,,,,,,,
25/09/2025 11:22:53,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,They seem like they could encourage overspending and lead to a cycle of debt.,Neutral,,,,,,,,
25/09/2025 11:27:05,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't trust them or worry about hidden fees.",They seem like a convenient and helpful financial tool for managing expenses.,Neutral,,,,,,,,
25/09/2025 11:33:16,22,Post-Graduate,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,They seem like a convenient and helpful financial tool for managing expenses.,Neutral,,,,,,,,
25/09/2025 11:33:32,22,2nd Year,Science,Parental Allowance,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Neutral,,,,,,,,
25/09/2025 11:33:32,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,I don't have a strong opinion about them either way.,Neutral,,,,,,,,
25/09/2025 11:33:54,23,2nd Year,Science,Parental Allowance,No,,,,I am worried about getting into debt.,They seem like they could encourage overspending and lead to a cycle of debt.,Neutral,,,,,,,,
25/09/2025 11:34:06,22,2nd Year,Other,Parental Allowance,No,,,,I didn't think about that,I don't have a strong opinion about them either way.,Unlikely,,,,,,,,
25/09/2025 11:34:08,21,Post-Graduate,Engineering / Technology,Other,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Neutral,,,,,,,,
25/09/2025 11:34:10,21,3rd Year,Engineering / Technology,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't trust them or worry about hidden fees.","They seem risky and untrustworthy, likely with hidden fees or confusing terms",Very Unlikely,,,,,,,,
25/09/2025 11:34:10,21,Post-Graduate,Commerce / Management,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't trust them or worry about hidden fees., I am worried about getting into debt.","They seem risky and untrustworthy, likely with hidden fees or confusing terms","Neutral, Unlikely",,,,,,,,
25/09/2025 11:34:15,22,Post-Graduate,Other,Parental Allowance,No,,,,I don't know enough about how they work.,I don't know enough about them to form an opinion.,Very Unlikely,,,,,,,,
25/09/2025 11:34:18,21,2nd Year,Science,Parental Allowance,No,,,,I don't trust them or worry about hidden fees.,I don't know enough about them to form an opinion.,Neutral,,,,,,,,
25/09/2025 11:34:22,21,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I am worried about getting into debt.,They seem like a convenient and helpful financial tool for managing expenses.,Likely,,,,,,,,
25/09/2025 11:34:28,23,Post-Graduate,Other,Parental Allowance,No,,,,I don't know enough about how they work.,They seem like a convenient and helpful financial tool for managing expenses.,Neutral,,,,,,,,
25/09/2025 11:34:31,23l2,Post-Graduate,Engineering / Technology,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't trust them or worry about hidden fees.",They seem like they could encourage overspending and lead to a cycle of debt.,Very Unlikely,,,,,,,,
25/09/2025 11:34:32,21,2nd Year,Engineering / Technology,Other,No,,,,"I don't need them / I can afford to pay upfront., Becuase it has Interest ",They seem like they could encourage overspending and lead to a cycle of debt.,Unlikely,,,,,,,,
